Phi [deg],dB(GainTotal) - Theta=90deg Freq=120MHz,dB(GainTotal) - Theta=90deg Freq=150MHz,dB(GainTotal) - Theta=90deg Freq=225MHz,dB(GainTotal) - Theta=90deg Freq=300MHz
19.00000,1.95758,2.27057,3.84693,5.31250
20.00000,1.96735,2.26574,3.93930,5.32554
21.00000,1.97745,2.26357,4.02596,5.33087
22.00000,1.98783,2.26424,4.10523,5.32846
23.00000,1.99843,2.26791,4.17556,5.31828
24.00000,2.00917,2.27462,4.23551,5.30027
25.00000,2.01999,2.28438,4.28383,5.27433
26.00000,2.03081,2.29711,4.31948,5.24031
27.00000,2.04155,2.31264,4.34161,5.19799
28.00000,2.05214,2.33075,4.34963,5.14709
29.00000,2.06249,2.35115,4.34321,5.08736
30.00000,2.07253,2.37349,4.32228,5.01860
31.00000,2.08217,2.39737,4.28706,4.94070
32.00000,2.09133,2.42234,4.23806,4.85374
33.00000,2.09995,2.44793,4.17605,4.75797
34.00000,2.10794,2.47364,4.10212,4.65386
35.00000,2.11522,2.49897,4.01760,4.54211
36.00000,2.12175,2.52340,3.92408,4.42357
37.00000,2.12744,2.54644,3.82339,4.29922
38.00000,2.13224,2.56761,3.71753,4.17003
39.00000,2.13611,2.58646,3.60867,4.03694
40.00000,2.13899,2.60256,3.49906,3.90069
41.00000,2.14085,2.61552,3.39100,3.76184
42.00000,2.14166,2.62503,3.28680,3.62070
43.00000,2.14140,2.63078,3.18866,3.47736
44.00000,2.14005,2.63255,3.09868,3.33179
45.00000,2.13761,2.63016,3.01873,3.18394
46.00000,2.13409,2.62348,2.95045,3.03391
47.00000,2.12949,2.61244,2.89514,2.88207
48.00000,2.12383,2.59705,2.85376,2.72921
49.00000,2.11715,2.57734,2.82688,2.57662
50.00000,2.10949,2.55342,2.81462,2.42611
51.00000,2.10087,2.52544,2.81667,2.27998
52.00000,2.09137,2.49362,2.83227,2.14089
53.00000,2.08103,2.45819,2.86023,2.01165
54.00000,2.06992,2.41947,2.89897,1.89504
55.00000,2.05810,2.37778,2.94659,1.79352
56.00000,2.04564,2.33348,3.00089,1.70901
57.00000,2.03262,2.28699,3.05952,1.64277
58.00000,2.01911,2.23871,3.11998,1.59527
59.00000,2.00518,2.18909,3.17978,1.56620
60.00000,1.99093,2.13856,3.23648,1.55454
61.00000,1.97641,2.08758,3.28776,1.55867
62.00000,1.96171,2.03660,3.33145,1.57651
63.00000,1.94689,1.98604,3.36563,1.60561
64.00000,1.93204,1.93632,3.38861,1.64326
65.00000,1.91720,1.88784,3.39897,1.68654
66.00000,1.90246,1.84095,3.39555,1.73241
67.00000,1.88786,1.79598,3.37745,1.77772
68.00000,1.87345,1.75321,3.34407,1.81925
69.00000,1.85930,1.71288,3.29501,1.85380
70.00000,1.84544,1.67518,3.23014,1.87822
71.00000,1.83191,1.64024,3.14955,1.88953
72.00000,1.81875,1.60815,3.05353,1.88491
73.00000,1.80599,1.57894,2.94256,1.86188
74.00000,1.79365,1.55261,2.81730,1.81826
75.00000,1.78175,1.52909,2.67858,1.75230
76.00000,1.77033,1.50829,2.52739,1.66272
77.00000,1.75938,1.49006,2.36484,1.54869
78.00000,1.74892,1.47423,2.19220,1.40994
79.00000,1.73895,1.46060,2.01087,1.24675
80.00000,1.72949,1.44897,1.82235,1.05996
